customer_tweet_id,customer_message,brand_reply,expected_intent,expected_escalation,label_notes
836182,@AmazonHelp I still haven't received my order and the delivery guy doesn't answer. Is this what my prime membership is all about ?,@318516 I'm sorry to know you haven't received the package. Please provide your details here: https://t.co/TjJDpW431S and 1/2 ^SH,delivery_shipping,yes,1
250991,@XboxSupport I tried every option but none of them resulted in the console turning on,"@175658 Appreciate the info. To be sure, are you plugged directly into a wall outlet and not a power strip? Wall outlet is recommended. ^AK",billing_payment,yes,Where is my package?
686121,@AirAsiaSupport Change your system to allot seats together to passengers under single booking. Take charges at the time of booking. Dont harass ppl,@283795  Seats are automatically assigned during checked-in subject to availability and aircraft balancing restrictions. &gt;&gt;&gt;,other,yes,Where is my package?
2136127,"@AskPlayStation it's all good, I imagine you guys are swamped if chat isn't working properly.",@628404 We have sent you a DM with more details,technical_service_issue,no,What payment methods do you accept?
2536556,Nearly done at work. Tomorrow morning @British_Airways you will be ferrying me and @480651 to Berlin for the weekend. Might see if I can get little cockpit visit before we leave #travel #longweekend,"@721573 Thanks for your lovely post, Ian. We hope you and Emma enjoy your time in Berlin. We look forward to welcoming you both on board your upcoming flight. ^DaniH",information_request,no,General travel message
2056599,I wonder at what point I can get into a lyft/Uber and not be hit on 🤦🏻‍♀️,"@373846 To be immediately connected with our Critical Response Line, click the ""Call Me"" button and enter your number at https://t.co/93jojKlTCK.",complaint_feedback,no,What payment methods do you accept?
1608679,"@AmazonHelp Ohje, das hoffe ich auch 😂",@425617 Daumen sind für dich gedrückt! :-),other,no,Where is my package?
938440,@VirginTrains. 16.53 train to Glasgow. Disgusting toilets and First Class one out of order. Not happy slipping in other people’s pish,"@342463 Sorry to hear that Jan, have you spoken to the staff regarding this? ^PA",complaint_feedback,no,Complaint about poor train service
501594,"@UPShelp

 1Z02160WYW00185241

Can someone kick loose that 0.5 lb package that's made it local to me but still undelivered, and keeps just rolling delivery a day further each of the past 3 days ?","@234846 I am showing this package is going to be getting delivered to USPS for the final delivery. I apologize for the delay as we are experiencing a higher than expected volume of shipments this holiday. 
Postal Tracking ID#9261299989__credit_card__   
^LD https://t.co/wKJHDXWGRQ",other,no,Package is undelivered after several days
2176424,I’ve spent 2 1/2 hours on the phone with @115725 for two days and I still don’t have internet after being told it would be on today 🤷🏼‍♀️,"@637993 Oh no, what problem are you having with the internet? Is this part of an outage?
^FEM",technical_service_issue,yes,Internet service unresolved after repeated support attempts
1595127,@Tesco It was actually on the leaflet/catalogue on your fireworks counter,"@490143 Hi Dan, I am going to consult with my support team and then I will get back to you. TY Megan",information_request,no,Customer is providing information about the product advertisement
2809481,I have tried countless times to contact @115873 to resolve my account status--- thus I have to turn to a public forum to discuss,@220287 Happy to take a closer look! Send us a DM with your email address so we can follow up.,account_access,yes,Account issue remains unresolved after repeated support attempts
2564867,@Ask_Spectrum What channel is Up available in HD? I have it on 124 but it's SD and windowboxed,"@696582 In order to further assist, could you please DM the address for the location? ^JS https://t.co/BioijTC79c",information_request,no,Customer asking about HD channel availability
70918,"@VirginTrains I don't want a refund I need to be in London for Christmas, what good is money back? If there is availability I want to go from Manchester","@131927 We can't change the tickets to go from Manchester, you can purchase new ones from there and obtain a refund, but they can't be changed. ^PA",refund_cancellation,no,Customer needs help changing travel plans and refunding the ticket
1108938,@Tesco I didn't purchase a bottle of your pink lemonade today for it to explode all over my car😕,"@159443 I will need your full name, address, email address and the store you bought this from. Thanks Calum 4/4",complaint_feedback,yes,Serious product safety complaint about bottle exploding
1117639,Uber eats jusft messef up my entire ordeer and gave me eleven burgers omfh my god,@383712 Sorry to hear about the trouble! Please send us a message at https://t.co/xLLG6cfrJA with the details and we'll follow up.,complaint_feedback,yes,Incorrect food order received
2041688,@AppleSupport P.s....your fix doesn’t work...,@603693 We'd like to help! Send us a DM to proceed. https://t.co/GDrqU22YpT,technical_service_issue,yes,Suggested fix did not resolve the technical issue
178713,@AmericanAir why the delay on AA610? DFW to DCA?,@158116 There's a maintenance delay on the flight and set to depart at 8p.,information_request,no,Customer asking about flight delay
